year,city,avg_temp
1859,Khartoum,28.15
1860,Khartoum,
1861,Khartoum,27.11
1862,Khartoum,25.25
1863,Khartoum,
1864,Khartoum,28.70
1865,Khartoum,
1866,Khartoum,
1867,Khartoum,
1868,Khartoum,
1869,Khartoum,28.52
1870,Khartoum,28.75
1871,Khartoum,28.43
1872,Khartoum,28.52
1873,Khartoum,28.85
1874,Khartoum,28.75
1875,Khartoum,28.09
1876,Khartoum,28.42
1877,Khartoum,29.02
1878,Khartoum,29.27
1879,Khartoum,28.71
1880,Khartoum,28.93
1881,Khartoum,29.24
1882,Khartoum,28.65
1883,Khartoum,28.47
1884,Khartoum,28.31
1885,Khartoum,28.59
1886,Khartoum,28.42
1887,Khartoum,28.46
1888,Khartoum,28.37
1889,Khartoum,29.10
1890,Khartoum,29.23
1891,Khartoum,29.02
1892,Khartoum,28.67
1893,Khartoum,28.54
1894,Khartoum,28.42
1895,Khartoum,28.52
1896,Khartoum,28.68
1897,Khartoum,28.80
1898,Khartoum,29.39
1899,Khartoum,29.03
1900,Khartoum,28.87
1901,Khartoum,29.73
1902,Khartoum,28.90
1903,Khartoum,28.51
1904,Khartoum,28.79
1905,Khartoum,28.77
1906,Khartoum,28.73
1907,Khartoum,28.75
1908,Khartoum,28.76
1909,Khartoum,29.01
1910,Khartoum,28.60
1911,Khartoum,28.82
1912,Khartoum,28.54
1913,Khartoum,28.33
1914,Khartoum,29.26
1915,Khartoum,29.43
1916,Khartoum,28.38
1917,Khartoum,28.33
1918,Khartoum,28.68
1919,Khartoum,29.49
1920,Khartoum,28.24
1921,Khartoum,28.72
1922,Khartoum,28.60
1923,Khartoum,28.49
1924,Khartoum,29.16
1925,Khartoum,28.85
1926,Khartoum,29.00
1927,Khartoum,29.33
1928,Khartoum,29.88
1929,Khartoum,28.98
1930,Khartoum,28.80
1931,Khartoum,29.54
1932,Khartoum,28.96
1933,Khartoum,29.54
1934,Khartoum,29.00
1935,Khartoum,29.12
1936,Khartoum,29.49
1937,Khartoum,29.09
1938,Khartoum,28.86
1939,Khartoum,29.42
1940,Khartoum,29.49
1941,Khartoum,29.58
1942,Khartoum,29.45
1943,Khartoum,28.65
1944,Khartoum,29.06
1945,Khartoum,28.86
1946,Khartoum,28.99
1947,Khartoum,29.35
1948,Khartoum,28.74
1949,Khartoum,28.75
1950,Khartoum,28.90
1951,Khartoum,28.77
1952,Khartoum,29.47
1953,Khartoum,28.83
1954,Khartoum,29.19
1955,Khartoum,29.28
1956,Khartoum,28.89
1957,Khartoum,29.10
1958,Khartoum,29.61
1959,Khartoum,28.81
1960,Khartoum,29.56
1961,Khartoum,28.34
1962,Khartoum,29.24
1963,Khartoum,29.62
1964,Khartoum,28.50
1965,Khartoum,29.16
1966,Khartoum,29.77
1967,Khartoum,28.53
1968,Khartoum,28.83
1969,Khartoum,29.84
1970,Khartoum,29.19
1971,Khartoum,28.52
1972,Khartoum,29.26
1973,Khartoum,29.76
1974,Khartoum,28.79
1975,Khartoum,28.99
1976,Khartoum,29.46
1977,Khartoum,28.64
1978,Khartoum,29.06
1979,Khartoum,29.72
1980,Khartoum,29.69
1981,Khartoum,29.31
1982,Khartoum,29.00
1983,Khartoum,28.98
1984,Khartoum,30.03
1985,Khartoum,29.61
1986,Khartoum,29.20
1987,Khartoum,29.76
1988,Khartoum,29.45
1989,Khartoum,28.79
1990,Khartoum,30.04
1991,Khartoum,29.62
1992,Khartoum,28.79
1993,Khartoum,29.58
1994,Khartoum,28.89
1995,Khartoum,29.24
1996,Khartoum,29.60
1997,Khartoum,29.43
1998,Khartoum,29.71
1999,Khartoum,29.83
2000,Khartoum,29.62
2001,Khartoum,29.81
2002,Khartoum,29.99
2003,Khartoum,29.68
2004,Khartoum,29.89
2005,Khartoum,30.17
2006,Khartoum,29.55
2007,Khartoum,29.58
2008,Khartoum,29.91
2009,Khartoum,30.46
2010,Khartoum,30.73
2011,Khartoum,29.96
2012,Khartoum,29.96
2013,Khartoum,30.65
1758,Miami,23.05
1759,Miami,22.56
1760,Miami,15.14
1761,Miami,
1762,Miami,
1763,Miami,
1764,Miami,
1765,Miami,
1766,Miami,
1767,Miami,
1768,Miami,21.77
1769,Miami,22.57
1770,Miami,22.64
1771,Miami,23.28
1772,Miami,
1773,Miami,23.52
1774,Miami,
1775,Miami,24.52
1776,Miami,24.26
1777,Miami,24.16
1778,Miami,
1779,Miami,
1780,Miami,
1781,Miami,23.39
1782,Miami,23.45
1783,Miami,22.44
1784,Miami,22.57
1785,Miami,22.24
1786,Miami,22.81
1787,Miami,22.86
1788,Miami,23.21
1789,Miami,23.01
1790,Miami,22.88
1791,Miami,23.17
1792,Miami,22.73
1793,Miami,23.04
1794,Miami,23.21
1795,Miami,20.52
1796,Miami,22.89
1797,Miami,22.91
1798,Miami,23.47
1799,Miami,23.25
1800,Miami,23.06
1801,Miami,23.38
1802,Miami,23.53
1803,Miami,23.36
1804,Miami,23.45
1805,Miami,23.41
1806,Miami,23.13
1807,Miami,22.91
1808,Miami,22.66
1809,Miami,21.81
1810,Miami,21.85
1811,Miami,22.04
1812,Miami,21.53
1813,Miami,22.50
1814,Miami,22.24
1815,Miami,21.96
1816,Miami,21.54
1817,Miami,21.66
1818,Miami,22.40
1819,Miami,22.10
1820,Miami,22.25
1821,Miami,22.42
1822,Miami,23.08
1823,Miami,22.44
1824,Miami,23.40
1825,Miami,23.26
1826,Miami,23.45
1827,Miami,23.97
1828,Miami,24.18
1829,Miami,22.81
1830,Miami,23.81
1831,Miami,22.66
1832,Miami,22.93
1833,Miami,23.08
1834,Miami,23.60
1835,Miami,22.67
1836,Miami,22.55
1837,Miami,22.85
1838,Miami,22.46
1839,Miami,22.90
1840,Miami,22.89
1841,Miami,22.40
1842,Miami,22.91
1843,Miami,22.28
1844,Miami,22.27
1845,Miami,22.14
1846,Miami,22.75
1847,Miami,22.71
1848,Miami,22.98
1849,Miami,23.54
1850,Miami,23.36
1851,Miami,22.81
1852,Miami,22.57
1853,Miami,22.87
1854,Miami,22.78
1855,Miami,22.69
1856,Miami,22.78
1857,Miami,22.33
1858,Miami,22.60
1859,Miami,23.01
1860,Miami,22.80
1861,Miami,23.26
1862,Miami,23.36
1863,Miami,22.94
1864,Miami,22.39
1865,Miami,23.15
1866,Miami,23.04
1867,Miami,23.08
1868,Miami,22.75
1869,Miami,23.22
1870,Miami,22.95
1871,Miami,22.99
1872,Miami,22.56
1873,Miami,22.52
1874,Miami,23.00
1875,Miami,23.08
1876,Miami,22.77
1877,Miami,22.91
1878,Miami,22.88
1879,Miami,22.85
1880,Miami,23.44
1881,Miami,23.14
1882,Miami,23.36
1883,Miami,23.53
1884,Miami,23.09
1885,Miami,22.41
1886,Miami,22.08
1887,Miami,22.65
1888,Miami,22.78
1889,Miami,22.53
