year,city,avg_temp
1743,Jacksonville,17.55
1744,Jacksonville,21.98
1745,Jacksonville,16.35
1746,Jacksonville,
1747,Jacksonville,
1748,Jacksonville,
1749,Jacksonville,
1750,Jacksonville,21.36
1751,Jacksonville,21.65
1752,Jacksonville,17.80
1753,Jacksonville,21.01
1754,Jacksonville,21.07
1755,Jacksonville,19.67
1756,Jacksonville,21.42
1757,Jacksonville,20.85
1758,Jacksonville,19.54
1759,Jacksonville,20.57
1760,Jacksonville,19.49
1761,Jacksonville,21.39
1762,Jacksonville,20.97
1763,Jacksonville,19.36
1764,Jacksonville,21.28
1765,Jacksonville,20.99
1766,Jacksonville,21.43
1767,Jacksonville,20.63
1768,Jacksonville,19.82
1769,Jacksonville,20.77
1770,Jacksonville,20.63
1771,Jacksonville,21.39
1772,Jacksonville,21.26
1773,Jacksonville,21.33
1774,Jacksonville,21.16
1775,Jacksonville,21.86
1776,Jacksonville,20.89
1777,Jacksonville,20.62
1778,Jacksonville,19.30
1779,Jacksonville,16.63
1780,Jacksonville,
1781,Jacksonville,21.09
1782,Jacksonville,20.66
1783,Jacksonville,20.44
1784,Jacksonville,20.49
1785,Jacksonville,20.22
1786,Jacksonville,20.78
1787,Jacksonville,20.82
1788,Jacksonville,21.24
1789,Jacksonville,21.01
1790,Jacksonville,20.90
1791,Jacksonville,21.15
1792,Jacksonville,20.68
1793,Jacksonville,21.10
1794,Jacksonville,21.24
1795,Jacksonville,21.05
1796,Jacksonville,20.84
1797,Jacksonville,20.86
1798,Jacksonville,21.49
1799,Jacksonville,21.22
1800,Jacksonville,21.05
1801,Jacksonville,21.38
1802,Jacksonville,21.57
1803,Jacksonville,21.42
1804,Jacksonville,21.44
1805,Jacksonville,21.50
1806,Jacksonville,21.12
1807,Jacksonville,20.90
1808,Jacksonville,20.74
1809,Jacksonville,19.91
1810,Jacksonville,20.01
1811,Jacksonville,20.18
1812,Jacksonville,19.53
1813,Jacksonville,20.50
1814,Jacksonville,20.24
1815,Jacksonville,19.96
1816,Jacksonville,19.55
1817,Jacksonville,19.63
1818,Jacksonville,20.29
1819,Jacksonville,20.19
1820,Jacksonville,20.30
1821,Jacksonville,20.30
1822,Jacksonville,21.19
1823,Jacksonville,20.49
1824,Jacksonville,21.39
1825,Jacksonville,21.42
1826,Jacksonville,21.42
1827,Jacksonville,21.93
1828,Jacksonville,22.68
1829,Jacksonville,20.96
1830,Jacksonville,22.21
1831,Jacksonville,20.70
1832,Jacksonville,21.16
1833,Jacksonville,21.21
1834,Jacksonville,21.84
1835,Jacksonville,20.94
1836,Jacksonville,20.57
1837,Jacksonville,21.11
1838,Jacksonville,20.70
1839,Jacksonville,21.09
1840,Jacksonville,21.18
1841,Jacksonville,20.66
1842,Jacksonville,21.05
1843,Jacksonville,20.21
1844,Jacksonville,20.53
1845,Jacksonville,20.23
1846,Jacksonville,20.73
1847,Jacksonville,20.66
1848,Jacksonville,20.91
1849,Jacksonville,21.35
1850,Jacksonville,21.31
1851,Jacksonville,20.86
1852,Jacksonville,20.83
1853,Jacksonville,21.13
1854,Jacksonville,21.06
1855,Jacksonville,20.87
1856,Jacksonville,20.39
1857,Jacksonville,20.19
1858,Jacksonville,20.89
1859,Jacksonville,21.05
1860,Jacksonville,21.15
1861,Jacksonville,21.15
1862,Jacksonville,21.41
1863,Jacksonville,20.89
1864,Jacksonville,20.59
1865,Jacksonville,21.30
1866,Jacksonville,20.99
1867,Jacksonville,21.14
1868,Jacksonville,20.66
1869,Jacksonville,21.26
1870,Jacksonville,20.91
1871,Jacksonville,21.29
1872,Jacksonville,20.43
1873,Jacksonville,20.50
1874,Jacksonville,20.97
1875,Jacksonville,20.75
1876,Jacksonville,20.57
1877,Jacksonville,20.84
1878,Jacksonville,20.90
1879,Jacksonville,21.01
1880,Jacksonville,21.52
1881,Jacksonville,21.28
1882,Jacksonville,21.46
1883,Jacksonville,21.57
1884,Jacksonville,21.14
1885,Jacksonville,20.21
1886,Jacksonville,20.14
1887,Jacksonville,20.67
1888,Jacksonville,20.91
1889,Jacksonville,20.44
1890,Jacksonville,21.46
1891,Jacksonville,20.79
1892,Jacksonville,20.40
1893,Jacksonville,20.96
1894,Jacksonville,21.04
1895,Jacksonville,20.28
1896,Jacksonville,20.95
1897,Jacksonville,21.38
1898,Jacksonville,21.04
1899,Jacksonville,21.02
1900,Jacksonville,20.95
1901,Jacksonville,19.81
1902,Jacksonville,20.91
1903,Jacksonville,20.38
1904,Jacksonville,20.40
1905,Jacksonville,20.86
1906,Jacksonville,20.89
1907,Jacksonville,21.38
1908,Jacksonville,21.27
1909,Jacksonville,21.11
1910,Jacksonville,20.23
1911,Jacksonville,21.99
1912,Jacksonville,21.14
1913,Jacksonville,21.22
1914,Jacksonville,20.66
1915,Jacksonville,20.89
1916,Jacksonville,21.16
1917,Jacksonville,20.64
1918,Jacksonville,21.18
1919,Jacksonville,21.38
1920,Jacksonville,20.41
1921,Jacksonville,21.61
1922,Jacksonville,21.62
1923,Jacksonville,21.25
1924,Jacksonville,20.74
1925,Jacksonville,21.37
1926,Jacksonville,20.77
1927,Jacksonville,21.76
1928,Jacksonville,20.72
1929,Jacksonville,21.57
1930,Jacksonville,20.66
1931,Jacksonville,21.28
1932,Jacksonville,21.88
1933,Jacksonville,21.72
1934,Jacksonville,21.19
1935,Jacksonville,21.33
1936,Jacksonville,21.15
1937,Jacksonville,21.16
1938,Jacksonville,21.32
1939,Jacksonville,21.62
1940,Jacksonville,20.15
1941,Jacksonville,21.20
1942,Jacksonville,20.95
1943,Jacksonville,21.03
1944,Jacksonville,21.26
1945,Jacksonville,21.69
1946,Jacksonville,21.91
1947,Jacksonville,21.31
1948,Jacksonville,22.06
1949,Jacksonville,22.05
1950,Jacksonville,21.32
1951,Jacksonville,21.31
1952,Jacksonville,21.31
1953,Jacksonville,21.66
1954,Jacksonville,21.22
1955,Jacksonville,21.25
1956,Jacksonville,21.17
1957,Jacksonville,21.73
1958,Jacksonville,20.56
1959,Jacksonville,21.55
1960,Jacksonville,20.76
